event,start_frame,visual_class,visual,story_role,purpose_inferred,end_frame_exclusive,start_seconds,end_seconds,duration_seconds,narration_asr_approx,incoming,outgoing,evidence,timing_basis
E096,5111,presenter,Seated presenter,selection bridge,State criterion and recommended brand,5231,204.44,209.24,4.8,You need therapeutic strength concentration. The only brand that meets that standard is,Direct cut / appearance,To Hand holds white Resilia oil-of-oregano pouch outdoors,frames/05111.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E097,5231,product,Hand holds white Resilia oil-of-oregano pouch outdoors,brand reveal,First clear branded product after lengthy mechanism and benefit sequence,5257,209.24,210.28,1.04,is Resilia. 85,Direct cut / appearance,To Pouch behind printed branded stability-report page,frames/05231.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E098,5257,document,Pouch behind printed branded stability-report page,claimed proof,Attach claimed concentration to document,5286,210.28,211.44,1.16,"85 % Carvacrol,",Direct cut / appearance,To Closer graph crop on printed report,frames/05257.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E099,5286,document,Closer graph crop on printed report,claimed proof emphasis,Focus attention on one claimed numeric criterion,5315,211.44,212.6,1.16,"Carvacrol, wild harvested",Direct cut / appearance,To Workers in branded shirts harvest herbs on mountain slope,frames/05286.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E100,5315,origin,Workers in branded shirts harvest herbs on mountain slope,origin story,Make stated sourcing location and harvesting action visible; provenance unverified,5362,212.6,214.48,1.88,"harvested Mediterranean oregano,",Direct cut / appearance,To Branded-shirt workers operate metal equipment indoors,frames/05315.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E101,5362,origin,Branded-shirt workers operate metal equipment indoors,manufacturing story,Depict stated production process; provenance unverified,5440,214.48,217.6,3.12,combined with Ethiopian cold pressed black seed oil. Every,Direct cut / appearance,To Finger points at guarantee area on laptop product page,frames/05362.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E102,5440,offer,Finger points at guarantee area on laptop product page,risk reversal,Show where the stated policy can be found,5523,217.6,220.92,3.32,Every pouch is backed by a 30 -day money back guarantee.,Direct cut / appearance,To Seated presenter,frames/05440.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E103,5523,presenter,Seated presenter,reassurance,Let speaker deliver refund reassurance personally,5629,220.92,225.16,4.24,"If you don't feel the difference, full refund, no questions asked. If",Direct cut / appearance,To Seated presenter plus downward red arrow,frames/05523.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E104,5629,presenter-cta,Seated presenter plus downward red arrow,action cue,Indicate the action location,5693,225.16,227.72,2.56,"If you can still see the button below, it means it's still",Direct cut / appearance,To Hand holds Resilia pouch by window; arrow persists,frames/05629.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E105,5693,product-cta,Hand holds Resilia pouch by window; arrow persists,action cue,Connect click request with recognizable purchase object,5739,227.72,229.56,1.84,still in stock. You worked too hard,Direct cut / appearance,To Pouch tips golden softgels into palm,frames/05693.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E106,5739,product-cta,Pouch tips golden softgels into palm,format/use,Make physical product form tangible during closing line,5791,229.56,231.64,2.08,hard and too long to let something invisible,Direct cut / appearance,To Palm of golden softgels in window light,frames/05739.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E107,5791,product-cta,Palm of golden softgels in window light,format/use,Hold material detail and keep arrow readable,5841,231.64,233.64,2.0,invisible steal what's yours. Click,Direct cut / appearance,To Return to presenter with downward arrow through final frame,frames/05791.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E108,5841,presenter-cta,Return to presenter with downward arrow through final frame,closing appeal,End on human invitation and action direction,5900,233.64,236.0,2.36,Click below and take your retirement back.,Direct cut / appearance,End of source,frames/05841.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
