start_frame,cue_paraphrase,visual_class,observed_visual_action,observed_motion,editorial_role_inference,shot_id,start_s,end_frame_exclusive,end_s,duration_s,incoming_transition,outgoing_transition,boundary_review,boundary_evidence,transcript_excerpt_asr_unverified,caption_style_observed,source_provenance_status
2896,Watch first compound,mechanism,Golden liquid surges through intestinal tunnel onto coated material,Pour/flow,First ingredient receives distinct gold visual identity and action,YIX-054,96.533,2937,97.9,1.367,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-07.jpg row 7; split file boundaries-07-2.jpg,Watch what the carvacrawl do,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2937,Hits biofilm,mechanism,Closer angle on stream striking bulbous shield surface,Impact/dissolution action,Advance from delivery to contact at target,YIX-055,97.9,2974,99.133,1.233,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-07.jpg row 8; split file boundaries-07-2.jpg,when it hit the biofilm.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2974,Shield cracks open,mechanism,Cut to coated structures splitting/opening along gut wall,Shell separation and debris,Visible before-to-after action carries barrier-removal claim,YIX-056,99.133,3056,101.867,2.733,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-07.jpg row 9; split file boundaries-07-2.jpg,38 seconds. Shield cracked wide open.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
3056,Protection gone,presenter,Full-frame commentator in same room,Emphatic expression,Interpret prior action and pause before stage two,YIX-057,101.867,3165,105.5,3.633,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-07.jpg row 10; split file boundaries-07-2.jpg,The protection these parasites been hiding behind for years? Gone.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
3165,Second compound finishes job,mechanism,Gut with worm forms; thick black fluid rushes in and washes through,Large continuous fluid surge; camera tracks,Second ingredient uses contrasting black color and sequential action; hold long enough to see completion,YIX-058,105.5,3351,111.7,6.2,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-08.jpg row 1; split file boundaries-08-1.jpg,Now watch what happened next. The thymoquinone flood in behind it and finish the job. Parasites destroyed. The,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
3351,Eggs survived previous cleanses,mechanism,Pale scope tunnel with clusters of white eggs; green liquid washes through,Fluid passes eggs,Reprise failed alternative to frame remaining objection,YIX-059,111.7,3437,114.567,2.867,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-09.jpg row 7; split file boundaries-09-2.jpg,eggs that survived every cleanse you ever tried?,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
3437,Cheap oregano bounces off casings,mechanism,Dark bulb-like egg casing; cream spheres strike/bounce around it,Repeated sphere impacts,Different action explains proposed failure at barrier,YIX-060,114.567,3520,117.333,2.767,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-09.jpg row 8; split file boundaries-09-2.jpg,The casings cheap oregano oil bounced off of?,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
3520,Weak black seed oil cannot crack,mechanism,Pale intestinal tunnel packed with eggs; black fluid passes over them,Black liquid flow,Show second solo ingredient's alleged insufficiency using same code,YIX-061,117.333,3582,119.4,2.067,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-09.jpg row 9; split file boundaries-09-2.jpg,That weak black seed oil couldn't crack?,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
3582,Dissolved; contents wiped out,mechanism,Clean pink gut wall with translucent eggs fading/breaking down,Gradual disappearance,"Pay off egg objection with visible change, then cleaner surface",YIX-062,119.4,3645,121.5,2.1,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-09.jpg row 10; split file boundaries-09-2.jpg,Dissolved. Contents wiped out.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
3645,No next generation; previous cleanse failed,presenter,Full-frame commentator,Direct delivery,State conclusion after demonstration; reset visual load,YIX-063,121.5,3745,124.833,3.333,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-10.jpg row 1; split file boundaries-10-1.jpg,No next generation. This is why your last cleanse ain't work.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
3745,Shelf products are weak,retail-context,Long aisle of supplement bottles on store shelves,Shallow-focus lateral drift,Make comparison category tangible without inventing a named competitor,YIX-064,124.833,3813,127.1,2.267,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-10.jpg row 2; split file boundaries-10-1.jpg,Most oregano oil on the shelf is weak.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
3813,Weak amounts / wrong origin,presenter,Full-frame commentator,Direct delivery,Carry verbal differentiation that footage cannot directly verify,YIX-065,127.1,3944,131.467,4.367,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-10.jpg row 3; split file boundaries-10-1.jpg,Barely any carvacrawl in it. Most black seed oil ain't even from Ethiopia.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
3944,Second active barely does anything,mechanism,Black liquid between pink folds while clusters remain visible,Liquid stream around eggs,Recall inadequate standalone effect visually,YIX-066,131.467,4014,133.8,2.333,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-10.jpg row 4; split file boundaries-10-1.jpg,So the thymoquinone barely doing nothing.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4014,Need both at full strength together,presenter,Same full-frame commentator,Counting/emphatic hand gestures,Combine two-stage lesson into simple selection criterion,YIX-067,133.8,4122,137.4,3.6,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-10.jpg row 5; split file boundaries-10-1.jpg,You need both at full strength hitting at the same time.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4122,Gut after three weeks,mechanism,Smooth pale-pink clean tunnel with a few softly glowing particles,Calm forward glide,"Visual after-state contrasts earlier dirty, crowded texture",YIX-068,137.4,4194,139.8,2.4,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-10.jpg row 6; split file boundaries-10-2.jpg,This is your gut after three weeks on Resilie.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4194,Bloating gone,human-benefit,Woman standing in jeans turns then smiles with top lifted above abdomen,Body turn/smile,"Mirror problem category with positive lived outcome; different person, not verified before/after",YIX-069,139.8,4242,141.4,1.6,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-10.jpg row 7; split file boundaries-10-2.jpg,That's why the bloating disappeared.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4242,Brain fog lifts,human-benefit,Woman seated on bed working at laptop in bright room,Typing/attentive posture,Show functioning behavior rather than another symptom pose,YIX-070,141.4,4293,143.1,1.7,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-10.jpg row 8; split file boundaries-10-2.jpg,That's why the brain fog lift.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4293,Sugar cravings stop,human-benefit,POV hands throw decorated cake into trash bin,Clear discard action,A decisive behavior makes reduced desire visible,YIX-071,143.1,4345,144.833,1.733,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-10.jpg row 9; split file boundaries-10-2.jpg,That's why the sugar cravings stop.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4345,Sleep through night,human-benefit,Person peacefully asleep on pillow under blanket,Still/restful pose,Quiet sustained image resolves restless-bed problem category,YIX-072,144.833,4408,146.933,2.1,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-11.jpg row 1; split file boundaries-11-1.jpg,That's why you finally sleep through the night.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4408,Cause is gone,mechanism,Golden fluid washes worms from red intestinal tunnel,Fluid flush with moving organisms,Return benefit montage to shared cause and recap removal,YIX-073,146.933,4489,149.633,2.7,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-11.jpg row 2; split file boundaries-11-1.jpg,Because the thing causing all of it is gone.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4489,Resilia is the brand,product,Hand holds labeled white/green pouch in sunlit bedroom,Handheld pack display,First extended branding passage turns mechanism story into identifiable item,YIX-074,149.633,4538,151.267,1.633,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-11.jpg row 4; split file boundaries-11-1.jpg,Resilie is the only brand,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4538,Sourcing oregano,ingredient,Overhead bowl of fresh green leaves on stone tabletop,Subtle overhead drift,Recall tangible ingredient with composition different from first plant macro,YIX-075,151.267,4581,152.7,1.433,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-11.jpg row 5; split file boundaries-11-1.jpg,sourcing wild oregano from,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4581,Mediterranean mountains / altitude,origin-context,Wide green alpine valley and jagged peaks,Slow landscape drift,Give provenance language geographic scale; actual source location not verified,YIX-076,152.7,4669,155.633,2.933,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-11.jpg row 6; split file boundaries-11-2.jpg,"the Mediterranean mountains at 4 ,000 feet.","Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4669,Ethiopian black seed oil,ingredient,"Glass jar of black seeds with small gold spoon, overhead",Scoop/stir action,Match second ingredient with fresh composition and material identity,YIX-077,155.633,4750,158.333,2.7,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-11.jpg row 7; split file boundaries-11-2.jpg,Paired with real Ethiopian black seed oil from,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4750,Volcanic soil,origin-context,Ground-level close-up of dark cracked soil and small roots,Low close camera drift,Translate soil claim literally and change scale from landscape,YIX-078,158.333,4790,159.667,1.333,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-11.jpg row 8; split file boundaries-11-2.jpg,volcanic soil,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4790,High-altitude origin,origin-context,Lush steep mountain with visible paths/valley,Aerial-like landscape drift,Return from soil micro-detail to geography/altitude,YIX-079,159.667,4827,160.9,1.233,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-11.jpg row 9; split file boundaries-11-2.jpg,"at 8 ,000 feet.","Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4827,Two oils,comparison-overlay,Split screen of golden and brown oil jars on bright tabletop,Subtle jar/lighting motion,Compress two inputs side-by-side in one glance,YIX-080,160.9,4852,161.733,0.833,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-11.jpg row 10; split file boundaries-11-2.jpg,Two oils.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4852,Two countries,comparison-overlay,Split screen of earlier two mountain landscapes,Slow landscape motion,Parallel composition reinforces two-source formulation; repeats source landscapes,YIX-081,161.733,4878,162.6,0.867,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-12.jpg row 1; split file boundaries-12-1.jpg,Two countries.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4878,One softgel,product-detail,Fingertips hold one translucent golden capsule against softly lit interior,Small hand/camera movement,Converge two-source story into one easy unit,YIX-082,162.6,4910,163.667,1.067,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-12.jpg row 2; split file boundaries-12-1.jpg,One soft gel. They,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4910,Small weekly batches,presenter,Full-frame commentator,Conversational delivery,Human assertion introduces scarcity rationale,YIX-083,163.667,4972,165.733,2.067,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-12.jpg row 3; split file boundaries-12-1.jpg,making small batches every week.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
4972,Cannot scale wild mountainside oregano,origin-context,Low green herb plants/rocks with hillside houses in warm light,Slow forward drift,"Make limited-source story imaginable; landscape is illustrative, not supply evidence",YIX-084,165.733,5056,168.533,2.8,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-12.jpg row 4; split file boundaries-12-1.jpg,Can't scale wild oregano from a mountainside.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
5056,When video takes off,presenter,Full-frame commentator,Direct address,Pivot from origin to popularity/availability narrative,YIX-085,168.533,5116,170.533,2.0,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-12.jpg row 5; split file boundaries-12-1.jpg,"Every time a video like this take off,","Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
5116,They sell out,social-proof-collage,Nine-panel grid of people and product pouches,Several inset clips move simultaneously,Brief collective-uptake cue; actual purchases/testimonials not verified,YIX-086,170.533,5140,171.333,0.8,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-12.jpg row 6; split file boundaries-12-2.jpg,they sell out.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
5140,Waiting weeks for next drop,purchase-context,Woman at table using laptop on product site,Over-shoulder to closer screen drift,Show shopping context and make delay relevant at point of purchase,YIX-087,171.333,5209,173.633,2.3,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-12.jpg row 7; split file boundaries-12-2.jpg,And people be waiting weeks for the next drop.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
5209,If link is working,presenter,Full-frame commentator,Direct address,Set conditional click instruction,YIX-088,173.633,5261,175.367,1.733,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-12.jpg row 8; split file boundaries-12-2.jpg,"If the link below still working,","Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
5261,Still available,product,Hand holds labeled pouch outdoors against dark steps,Handheld tilt,Keep recognizable product on availability statement,YIX-089,175.367,5312,177.067,1.7,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-12.jpg row 9; split file boundaries-12-2.jpg,that means bottles still available.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
5312,Tap now,presenter,Presenter leans forward and points down toward bottom of frame,Downward pointing gesture,Align visible action with click location,YIX-090,177.067,5335,177.833,0.767,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-12.jpg row 10; split file boundaries-12-2.jpg,Tap it now.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
5335,Two softgels before bed,product,Pouch standing on light surface with two golden softgels in front,Push toward pack/capsules,Reduce regimen to pack plus counted dose at close,YIX-091,177.833,5386,179.533,1.7,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-13.jpg row 1; split file boundaries-13-1.jpg,Two soft gels before bed.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
5386,Three weeks,product,Hands hold pouch over lap/table in home,Small hand movement,Brief pack reminder on duration promise,YIX-092,179.533,5407,180.233,0.7,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-13.jpg row 2; split file boundaries-13-1.jpg,Three weeks.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
5407,Your body will tell you,presenter,Same full-frame commentator concludes,Direct eye-line and speech,Close on human conviction; no separate static logo end-card,YIX-093,180.233,5484,182.8,2.567,hard cut,source ends,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-13.jpg row 3; split file boundaries-13-1.jpg,Your body gonna tell you everything you need to know.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
